[?1034h+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
| Knight      | Terence      | Dr.          | N                     | 176372           | 16  |
| Laird       | Mark         | Mr.          | N                     | 65882            | 15  |
| Lamontagne  | Adam         | Mrs.         | N                     | 84116            | 15  |
| Leblanc     | Franklin     | Sir          | Y                     | 49165            | 16  |
| Lewis       | Annie        | Ms.          | Y                     | 131418           | 15  |
| Lewis       | Josephine    | Ms.          | N                     | 37538            | 16  |
| Lin         | Robert       | Dr.          | Y                     | 236887           | 15  |
| Lopez       | Randee       | Miss         | N                     | 9979             | 15  |
| Love        | Sean         | Mr.          | N                     | 196652           | 15  |
| Lozano      | Charlotte    | Mrs.         | Y                     | 31661            | 15  |
| Manuel      | Doris        | Mrs.         | Y                     | 148847           | 15  |
| Marsh       | Gary         | Sir          | Y                     | 6580             | 15  |
| Martin      | Sherri       | Mrs.         | Y                     | 166156           | 15  |
| Mason       | Richard      | Sir          | Y                     | 27500            | 16  |
| Mccallister | Andrew       | Ms.          | Y                     | 122178           | 15  |
| Mccloud     | Nicholas     | Mr.          | Y                     | 28001            | 15  |
| Mcdonald    | Araceli      | Ms.          | Y                     | 121343           | 15  |
| Mcgrath     | Anna         | Ms.          | Y                     | 25626            | 16  |
| Mclane      | Vicki        | Mrs.         | Y                     | 111462           | 15  |
| Miller      | Lena         | Mrs.         | N                     | 163423           | 16  |
| Montgomery  | Julie        | Miss         | N                     | 17471            | 15  |
| Moore       | Jeffrey      | Sir          | Y                     | 155931           | 15  |
| Moore       | Lorena       | Mrs.         | Y                     | 47752            | 15  |
| Morgan      | Betty        | Dr.          | N                     | 90306            | 15  |
| Morris      | Martina      | Miss         | N                     | 32596            | 15  |
| Mulligan    | Mark         | Sir          | Y                     | 184598           | 16  |
| Munn        | Kimberly     | Mrs.         | Y                     | 63153            | 15  |
| Neeley      | Stephanie    | Mrs.         | N                     | 216299           | 15  |
| Palacios    | Amber        | Dr.          | Y                     | 225723           | 15  |
| Palacios    | Denise       | Dr.          | Y                     | 85620            | 15  |
| Parker      | Edward       | Mr.          | Y                     | 16039            | 15  |
| Peeples     | Edith        | Dr.          | Y                     | 226830           | 15  |
| Perry       | Sarah        | Ms.          | N                     | 100885           | 15  |
| Phillips    | Chester      | Dr.          | Y                     | 125025           | 15  |
| Pierce      | Evelyn       | Mrs.         | N                     | 226270           | 16  |
| Pritchett   | Marcie       | Ms.          | N                     | 63897            | 15  |
| Redmond     | Blanche      | Ms.          | N                     | 228659           | 16  |
| Reece       | Jimmy        | Sir          | N                     | 166493           | 16  |
| Reyna       | Rod          | Sir          | N                     | 46248            | 16  |
| Riddle      | Marcelino    | Dr.          | N                     | 60749            | 15  |
| Robbins     | Elizabeth    | Mrs.         | N                     | 83835            | 15  |
| Robbins     | Michael      | Dr.          | Y                     | 42684            | 15  |
| Roberts     | Dorothy      | Ms.          | N                     | 183154           | 15  |
| Roberts     | Jennifer     | Miss         | Y                     | 141296           | 15  |
| Roldan      | Dorothy      | Mrs.         | N                     | 9370             | 15  |
| Russell     | Tiffany      | Miss         | N                     | 29323            | 16  |
| Sacco       | Brian        | Sir          | N                     | 124398           | 16  |
| Salinas     | Kenneth      | Dr.          | Y                     | 167446           | 15  |
| Salter      | Antonio      | Miss         | N                     | 27497            | 16  |
| Sampson     | Antonio      | Miss         | Y                     | 115755           | 15  |
| Savage      | Evelyn       | Miss         | Y                     | 233051           | 15  |
| Scott       | Michael      | Mr.          | Y                     | 104162           | 15  |
| Shields     | Madeline     | Ms.          | Y                     | 135178           | 16  |
| Shin        | Jeremy       | Mr.          | N                     | 14362            | 15  |
| Simpson     | Anthony      | Mrs.         | Y                     | 221226           | 15  |
| Sims        | Fern         | Dr.          | Y                     | 175233           | 15  |
| Sims        | John         | Dr.          | Y                     | 113923           | 15  |
| Slaughter   | Richard      | Mr.          | Y                     | 24547            | 15  |
| Smith       | Ralph        | Sir          | N                     | 87132            | 16  |
| Smith       | Terry        | Dr.          | Y                     | 16945            | 15  |
| Smith       | Toni         | Miss         | N                     | 50011            | 15  |
| Smith       | Wendell      | Sir          | N                     | 85496            | 15  |
| Soares      | Sally        | Ms.          | Y                     | 203554           | 16  |
| Somers      | James        | Dr.          | N                     | 123535           | 15  |
| Spencer     | Teri         | Mrs.         | N                     | 28551            | 16  |
| Stafford    | Jerry        | Mr.          | Y                     | 230470           | 15  |
| Stern       | Heather      | Ms.          | N                     | 58559            | 16  |
| Stevens     | Mattie       | Ms.          | N                     | 202640           | 15  |
| Stewart     | Gilbert      | Mr.          | Y                     | 217862           | 15  |
| Stewart     | Pamala       | Dr.          | Y                     | 34735            | 15  |
| Stewart     | Pamela       | Mrs.         | Y                     | 88160            | 16  |
| Sullivan    | Amy          | Dr.          | N                     | 166225           | 15  |
| Swafford    | Shawn        | Dr.          | N                     | 79884            | 15  |
| Taft        | Kenneth      | Dr.          | N                     | 165346           | 15  |
| Taylor      | Jacqueline   | Mrs.         | Y                     | 89977            | 16  |
| Thomas      | Christel     | Dr.          | Y                     | 34579            | 15  |
| Thompson    | Melissa      | Dr.          | N                     | 162831           | 15  |
| Thornton    | William      | Sir          | Y                     | 230436           | 16  |
| Tipton      | Minnie       | Dr.          | Y                     | 59463            | 15  |
| Tolbert     | Emily        | Miss         | Y                     | 40132            | 15  |
| Townsend    | Michelle     | Mrs.         | N                     | 39872            | 15  |
| Turnbull    | Nancy        | Mrs.         | Y                     | 216258           | 15  |
| Turner      | Kerry        | Dr.          | Y                     | 23710            | 16  |
| Valenzuela  | Bryan        | Sir          | Y                     | 221858           | 16  |
| Vance       | Josefina     | Mrs.         | N                     | 147148           | 15  |
| Vargas      | Wanda        | Mrs.         | Y                     | 62471            | 15  |
| Vogel       | Leroy        | Sir          | Y                     | 29032            | 15  |
| Walker      | Richard      | Sir          |                       | 226475           | 15  |
| Ware        | Daniel       | Dr.          | Y                     | 135449           | 16  |
| Ware        | Evelyn       | Mrs.         | N                     | 173770           | 16  |
| Webb        | Gloria       | Ms.          | N                     | 65663            | 15  |
| Wetzel      | Bebe         | Dr.          | N                     | 82518            | 15  |
| White       | Andres       | Sir          | Y                     | 174527           | 15  |
| Whitfield   | Sean         | Sir          | Y                     | 61084            | 15  |
| Wiggins     | Kermit       | Sir          | N                     | 112643           | 15  |
| Wilbur      | Terry        | Sir          | N                     | 200312           | 15  |
| Williams    | Archie       | Mr.          | N                     | 113007           | 15  |
| Williams    | Scott        |              |                       | 136844           | 16  |
| Woody       | Philip       | Mr.          | N                     | 211173           | 16  |
| Zepeda      | Tanya        | Mrs.         | N                     | 18888            | 15  |
+-------------+--------------+--------------+-----------------------+------------------+-----+
Query Runtime Profile:
Query (id=a495707dd407ad2:a1a93b0b89ddb897):
  Summary:
    Session ID: 2a4dce1156d5847c:7de43ab695b34a98
    Session Type: BEESWAX
    Start Time: 2014-12-03 04:13:20.638621000
    End Time: 
    Query Type: QUERY
    Query State: CREATED
    Query Status: OK
    Impala Version: impalad version 1.2.4 RELEASE (build df140da35e1789e305b85a3d1fb63914fd15d163)
    User: hadoop
    Network Address: ::ffff:10.69.82.228:49344
    Default Db: default
    Sql Statement: select c_last_name,
  c_first_name,
  c_salutation,
  c_preferred_cust_flag,
  ss_ticket_number,
  cnt
from
  (select
    ss_ticket_number,
    ss_customer_sk,
    count(*) cnt
  from
    store_sales,
    date_dim,
    store,
    household_demographics
  where
    store_sales.ss_sold_date_sk = date_dim.d_date_sk
    and store_sales.ss_store_sk = store.s_store_sk
    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk
    and (date_dim.d_dom between 1 and 3
      or date_dim.d_dom between 25 and 28)
    and (household_demographics.hd_buy_potential = '>10000'
      or household_demographics.hd_buy_potential = 'unknown')
    and household_demographics.hd_vehicle_count > 0
    and (case when household_demographics.hd_vehicle_count > 0 then household_demographics.hd_dep_count / household_demographics.hd_vehicle_count else null end) > 1.2
    and date_dim.d_year in (1998, 1998 + 1, 1998 + 2)
    and store.s_county in ('Saginaw County', 'Sumner County', 'Appanoose County', 'Daviess County', 'Fairfield County', 'Raleigh County', 'Ziebach County', 'Williamson County')
    and ss_sold_date_sk between 2450816 and 2451910 group by
    ss_ticket_number,
    ss_customer_sk
  ) dn,
  customer
where
  ss_customer_sk = c_customer_sk
  and cnt between 15 and 20
order by
  c_last_name,
  c_first_name,
  c_salutation,
  c_preferred_cust_flag desc
limit 100000
    Plan: 
----------------
Estimated Per-Host Requirements: Memory=6.30GB VCores=4

PLAN FRAGMENT 0
  PARTITION: UNPARTITIONED

  18:TOP-N
  |  order by: c_last_name ASC, c_first_name ASC, c_salutation ASC, c_preferred_cust_flag DESC
  |  limit: 100000
  |  cardinality: 100000
  |  per-host memory: unavailable
  |  tuple ids: 4 6 
  |
  17:EXCHANGE
     cardinality: 100000
     per-host memory: unavailable
     tuple ids: 4 6 

PLAN FRAGMENT 1
  PARTITION: HASH_PARTITIONED: ss_ticket_number, ss_customer_sk

  STREAM DATA SINK
    EXCHANGE ID: 17
    UNPARTITIONED

  10:TOP-N
  |  order by: c_last_name ASC, c_first_name ASC, c_salutation ASC, c_preferred_cust_flag DESC
  |  limit: 100000
  |  cardinality: unavailable
  |  per-host memory: -80B
  |  tuple ids: 4 6 
  |
  9:HASH JOIN
  |  join op: INNER JOIN (BROADCAST)
  |  hash predicates:
  |    ss_customer_sk = c_customer_sk
  |  cardinality: unavailable
  |  per-host memory: 2.00GB
  |  tuple ids: 4 6 
  |
  |----16:EXCHANGE
  |       cardinality: unavailable
  |       per-host memory: 0B
  |       tuple ids: 6 
  |
  15:AGGREGATE (merge finalize)
  |  output: SUM(COUNT(*))
  |  group by: ss_ticket_number, ss_customer_sk
  |  having: COUNT(*) >= 15, COUNT(*) <= 20
  |  cardinality: unavailable
  |  per-host memory: 128.00MB
  |  tuple ids: 4 
  |
  14:EXCHANGE
     cardinality: unavailable
     per-host memory: 0B
     tuple ids: 4 

PLAN FRAGMENT 2
  PARTITION: RANDOM

  STREAM DATA SINK
    EXCHANGE ID: 16
    UNPARTITIONED

  8:SCAN HDFS
     table=default.customer #partitions=1/1 size=12.60MB
     table stats: unavailable
     column stats: unavailable
     cardinality: unavailable
     per-host memory: 48.00MB
     tuple ids: 6 

PLAN FRAGMENT 3
  PARTITION: RANDOM

  STREAM DATA SINK
    EXCHANGE ID: 14
    HASH_PARTITIONED: ss_ticket_number, ss_customer_sk

  7:AGGREGATE
  |  output: COUNT(*)
  |  group by: ss_ticket_number, ss_customer_sk
  |  cardinality: unavailable
  |  per-host memory: 128.00MB
  |  tuple ids: 4 
  |
  6:HASH JOIN
  |  join op: INNER JOIN (BROADCAST)
  |  hash predicates:
  |    store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk
  |  cardinality: unavailable
  |  per-host memory: 2.00GB
  |  tuple ids: 0 1 2 3 
  |
  |----13:EXCHANGE
  |       cardinality: unavailable
  |       per-host memory: 0B
  |       tuple ids: 3 
  |
  5:HASH JOIN
  |  join op: INNER JOIN (BROADCAST)
  |  hash predicates:
  |    store_sales.ss_store_sk = store.s_store_sk
  |  cardinality: unavailable
  |  per-host memory: 2.00GB
  |  tuple ids: 0 1 2 
  |
  |----12:EXCHANGE
  |       cardinality: unavailable
  |       per-host memory: 0B
  |       tuple ids: 2 
  |
  4:HASH JOIN
  |  join op: INNER JOIN (BROADCAST)
  |  hash predicates:
  |    store_sales.ss_sold_date_sk = date_dim.d_date_sk
  |  cardinality: unavailable
  |  per-host memory: 2.00GB
  |  tuple ids: 0 1 
  |
  |----11:EXCHANGE
  |       cardinality: unavailable
  |       per-host memory: 0B
  |       tuple ids: 1 
  |
  0:SCAN HDFS
     table=default.store_sales #partitions=1/1 size=370.45MB
     predicates: ss_sold_date_sk >= 2450816, ss_sold_date_sk <= 2451910
     table stats: unavailable
     column stats: unavailable
     cardinality: unavailable
     per-host memory: 176.00MB
     tuple ids: 0 

PLAN FRAGMENT 4
  PARTITION: RANDOM

  STREAM DATA SINK
    EXCHANGE ID: 13
    UNPARTITIONED

  3:SCAN HDFS
     table=default.household_demographics #partitions=1/1 size=148.10KB
     predicates: (household_demographics.hd_buy_potential = '>10000' OR household_demographics.hd_buy_potential = 'unknown'), household_demographics.hd_vehicle_count > 0, (CASE WHEN household_demographics.hd_vehicle_count > 0 THEN household_demographics.hd_dep_count / household_demographics.hd_vehicle_count ELSE NULL END) > 1.2
     table stats: unavailable
     column stats: unavailable
     cardinality: unavailable
     per-host memory: 32.00MB
     tuple ids: 3 

PLAN FRAGMENT 5
  PARTITION: RANDOM

  STREAM DATA SINK
    EXCHANGE ID: 12
    UNPARTITIONED

  2:SCAN HDFS
     table=default.store #partitions=1/1 size=3.08KB
     predicates: store.s_county IN ('Saginaw County', 'Sumner County', 'Appanoose County', 'Daviess County', 'Fairfield County', 'Raleigh County', 'Ziebach County', 'Williamson County')
     table stats: unavailable
     column stats: unavailable
     cardinality: unavailable
     per-host memory: 32.00MB
     tuple ids: 2 

PLAN FRAGMENT 6
  PARTITION: RANDOM

  STREAM DATA SINK
    EXCHANGE ID: 11
    UNPARTITIONED

  1:SCAN HDFS
     table=default.date_dim #partitions=1/1 size=9.84MB
     predicates: date_dim.d_date_sk >= 2450816, date_dim.d_date_sk <= 2451910, (date_dim.d_dom BETWEEN 1 AND 3 OR date_dim.d_dom BETWEEN 25 AND 28), date_dim.d_year IN (1998, 1998 + 1, 1998 + 2)
     table stats: unavailable
     column stats: unavailable
     cardinality: unavailable
     per-host memory: 48.00MB
     tuple ids: 1 
----------------
    Query Timeline: 3s314ms
       - Start execution: 1.688ms (1.688ms)
       - Planning finished: 16.98ms (14.410ms)
       - Rows available: 3s265ms (3s249ms)
       - First row fetched: 3s267ms (2.74ms)
  ImpalaServer:
     - ClientFetchWaitTimer: 5.509ms
     - RowMaterializationTimer: 262.926us
  Execution Profile a495707dd407ad2:a1a93b0b89ddb897:(Active: 3s250ms, % non-child: 0.00%)
    Per Node Peak Memory Usage: ip-10-9-186-46.ec2.internal:22000(89.56 MB) ip-10-9-135-106.ec2.internal:22000(49.17 MB) ip-10-69-82-228.ec2.internal:22000(81.57 KB) ip-10-9-184-103.ec2.internal:22000(10.05 MB) 
     - FinalizationTimer: 0ns
    Coordinator Fragment:(Active: 805.920ms, % non-child: 0.00%)
      MemoryUsage(500.0ms): 16.00 KB, 16.00 KB, 16.00 KB, 16.00 KB, 16.00 KB, 32.00 KB, 32.00 KB
      ThreadUsage(500.0ms): 1, 1, 1, 1, 1
       - AverageThreadTokens: 1.00 
       - PeakMemoryUsage: 81.57 KB
       - PrepareTime: 102.617us
       - RowsProduced: 197
       - TotalCpuTime: 2s446ms
       - TotalNetworkWaitTime: 805.433ms
       - TotalStorageWaitTime: 0ns
      CodeGen:(Active: 103.167ms, % non-child: 12.80%)
         - CodegenTime: 0ns
         - CompileTime: 95.539ms
         - LoadTime: 6.412ms
         - ModuleFileSize: 110.43 KB
      SORT_NODE (id=18):(Active: 805.911ms, % non-child: 0.06%)
         - PeakMemoryUsage: 65.57 KB
         - RowsReturned: 197
         - RowsReturnedRate: 244.00 /sec
      EXCHANGE_NODE (id=17):(Active: 805.460ms, % non-child: 99.94%)
         - BytesReceived: 14.15 KB
         - ConvertRowBatchTime: 11.900us
         - DataArrivalWaitTime: 805.415ms
         - DeserializeRowBatchTimer: 67.911us
         - FirstBatchArrivalWaitTime: 803.478ms
         - PeakMemoryUsage: 13.45 KB
         - RowsReturned: 197
         - RowsReturnedRate: 244.00 /sec
         - SendersBlockedTimer: 0ns
         - SendersBlockedTotalTimer(*): 0ns
    Averaged Fragment 1:(Active: 2s744ms, % non-child: 0.00%)
      split sizes:  min: 0.00 , max: 0.00 , avg: 0.00 , stddev: 0.00 
      completion times: min:2s738ms  max:2s755ms  mean: 2s747ms  stddev:8.791ms
      execution rates: min:0.00 /sec  max:0.00 /sec  mean:0.00 /sec  stddev:0.00 /sec
      num instances: 2
       - AverageThreadTokens: 1.17 
       - PeakMemoryUsage: 13.58 MB
       - PrepareTime: 8.360ms
       - RowsProduced: 98
       - TotalCpuTime: 485.314ms
       - TotalNetworkWaitTime: 3s212ms
       - TotalStorageWaitTime: 0ns
      CodeGen:(Active: 388.30ms, % non-child: 13.75%)
         - CodegenTime: 3.543ms
         - CompileTime: 374.519ms
         - LoadTime: 11.736ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=17):(Active: 165.36us, % non-child: 0.01%)
         - BytesSent: 7.07 KB
         - NetworkThroughput(*): 11.70 MB/sec
         - OverallThroughput: 41.88 MB/sec
         - PeakMemoryUsage: 2.66 KB
         - SerializeBatchTime: 123.70us
         - ThriftTransmitTime(*): 589.916us
         - UncompressedRowBatchSize: 11.56 KB
      SORT_NODE (id=10):(Active: 2s744ms, % non-child: 0.01%)
         - PeakMemoryUsage: 44.00 KB
         - RowsReturned: 98
         - RowsReturnedRate: 35.00 /sec
      HASH_JOIN_NODE (id=9):(Active: 2s744ms, % non-child: 0.00%)
         - BuildBuckets: 262.14K (262144)
         - BuildRows: 100.00K (100000)
         - BuildTime: 14.391ms
         - LeftChildRows: 98
         - LeftChildTime: 44.850us
         - LoadFactor: 0.38 
         - PeakMemoryUsage: 13.42 MB
         - RowsReturned: 98
         - RowsReturnedRate: 35.00 /sec
        EXCHANGE_NODE (id=16):(Active: 470.514ms, % non-child: 17.44%)
           - BytesReceived: 5.29 MB
           - ConvertRowBatchTime: 2.179ms
           - DataArrivalWaitTime: 466.935ms
           - DeserializeRowBatchTimer: 24.432ms
           - FirstBatchArrivalWaitTime: 265.364ms
           - PeakMemoryUsage: 103.88 KB
           - RowsReturned: 100.00K (100000)
           - RowsReturnedRate: 212.62 K/sec
           - SendersBlockedTimer: 0ns
           - SendersBlockedTotalTimer(*): 0ns
      AGGREGATION_NODE (id=15):(Active: 2s747ms, % non-child: 0.13%)
         - BuildBuckets: 1.02K (1024)
         - BuildTime: 191.850us
         - GetResultsTime: 77.947us
         - LoadFactor: 0.70 
         - PeakMemoryUsage: 131.98 KB
         - RowsReturned: 98
         - RowsReturnedRate: 35.00 /sec
      EXCHANGE_NODE (id=14):(Active: 2s744ms, % non-child: 99.97%)
         - BytesReceived: 19.42 KB
         - ConvertRowBatchTime: 35.900us
         - DataArrivalWaitTime: 2s743ms
         - DeserializeRowBatchTimer: 122.394us
         - FirstBatchArrivalWaitTime: 2s554ms
         - PeakMemoryUsage: 24.87 KB
         - RowsReturned: 1.26K (1261)
         - RowsReturnedRate: 459.00 /sec
         - SendersBlockedTimer: 0ns
         - SendersBlockedTotalTimer(*): 0ns
    Averaged Fragment 2:(Active: 263.992ms, % non-child: 0.00%)
      split sizes:  min: 12.60 MB, max: 12.60 MB, avg: 12.60 MB, stddev: 0.00 
      completion times: min:1s720ms  max:1s720ms  mean: 1s720ms  stddev:0ns
      execution rates: min:7.32 MB/sec  max:7.32 MB/sec  mean:7.32 MB/sec  stddev:0.00 /sec
      num instances: 1
       - AverageThreadTokens: 1.00 
       - PeakMemoryUsage: 18.66 MB
       - PrepareTime: 3.473ms
       - RowsProduced: 100.00K (100000)
       - TotalCpuTime: 644.887ms
       - TotalNetworkWaitTime: 18.584ms
       - TotalStorageWaitTime: 4.84ms
      CodeGen:(Active: 205.497ms, % non-child: 77.84%)
         - CodegenTime: 3.672ms
         - CompileTime: 192.636ms
         - LoadTime: 11.142ms
         - ModuleFileSize: 110.43 KB
      DataStreamSender (dst_id=16):(Active: 197.900ms, % non-child: 74.96%)
         - BytesSent: 5.29 MB
         - NetworkThroughput(*): 22.34 MB/sec
         - OverallThroughput: 26.71 MB/sec
         - PeakMemoryUsage: 3.55 KB
         - SerializeBatchTime: 85.443ms
         - ThriftTransmitTime(*): 236.593ms
         - UncompressedRowBatchSize: 8.74 MB
      HDFS_SCAN_NODE (id=8):(Active: 48.428ms, % non-child: 18.34%)
         - AverageHdfsReadThreadConcurrency: 0.00 
         - AverageScannerThreadConcurrency: 0.00 
         - BytesRead: 12.60 MB
         - BytesReadLocal: 12.60 MB
         - BytesReadShortCircuit: 12.60 MB
         - NumDisksAccessed: 1
         - NumScannerThreadsStarted: 1
         - PeakMemoryUsage: 18.64 MB
         - PerReadThreadRawHdfsThroughput: 1.71 GB/sec
         - RowsRead: 100.00K (100000)
         - RowsReturned: 100.00K (100000)
         - RowsReturnedRate: 2.06 M/sec
         - ScanRangesComplete: 1
         - ScannerThreadsInvoluntaryContextSwitches: 43
         - ScannerThreadsTotalWallClockTime: 192.114ms
           - DelimiterParseTime: 37.265ms
           - MaterializeTupleTime(*): 5.520ms
           - ScannerThreadsSysTime: 4.0ms
           - ScannerThreadsUserTime: 72.0ms
         - ScannerThreadsVoluntaryContextSwitches: 114
         - TotalRawHdfsReadTime(*): 7.213ms
         - TotalReadThroughput: 25.19 MB/sec
    Averaged Fragment 3:(Active: 1s611ms, % non-child: 0.00%)
      split sizes:  min: 128.00 MB, max: 242.45 MB, avg: 185.23 MB, stddev: 57.23 MB
      completion times: min:1s492ms  max:1s738ms  mean: 1s615ms  stddev:123.41ms
      execution rates: min:85.77 MB/sec  max:139.46 MB/sec  mean:112.62 MB/sec  stddev:26.85 MB/sec
      num instances: 2
       - AverageThreadTokens: 1.70 
       - PeakMemoryUsage: 69.37 MB
       - PrepareTime: 33.628ms
